Country,Country_ID,City,IndicatorCode,Continent,Date,Prevalence,Disease_ID,Continent_Name,City_URL
Sao Tome and Principe,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17116,,https://w3id.org/ohboi#P87,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2018,0.242,http://purl.obolibrary.org/obo/DOID_3043,Africa,
Sao Tome and Principe,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17116,,https://w3id.org/ohboi#P113,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2008,0.105,http://purl.obolibrary.org/obo/DOID_3069,Africa,
Saudi Arabia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17117,,https://w3id.org/ohboi#P65,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2019,0.011,http://purl.obolibrary.org/obo/DOID_3021,Asia,
Saudi Arabia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17117,,https://w3id.org/ohboi#P149,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2003,0.019,http://purl.obolibrary.org/obo/DOID_3105,Asia,
Saudi Arabia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17117,,https://w3id.org/ohboi#P198,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2000,0.021,http://purl.obolibrary.org/obo/DOID_3154,Africa,
Senegal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17121,,https://w3id.org/ohboi#P14,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2021,0.153,http://purl.obolibrary.org/obo/DOID_2970,Africa,
Senegal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17121,,https://w3id.org/ohboi#P83,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2018,0.159,http://purl.obolibrary.org/obo/DOID_3039,Africa,
Senegal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17121,,https://w3id.org/ohboi#P142,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2003,0.21,http://purl.obolibrary.org/obo/DOID_3098,Africa,
Senegal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17121,,https://w3id.org/ohboi#P188,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2000,0.226,http://purl.obolibrary.org/obo/DOID_3144,Africa,
Serbia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64377,,https://w3id.org/ohboi#P99,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2010,0.04,http://purl.obolibrary.org/obo/DOID_3055,Europe,
Seychelles,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17129,,https://w3id.org/ohboi#P18,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2021,0.014,http://purl.obolibrary.org/obo/DOID_2974,Africa,
Seychelles,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17129,,https://w3id.org/ohboi#P111,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2008,0.0089,http://purl.obolibrary.org/obo/DOID_3067,Africa,
Seychelles,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17129,,https://w3id.org/ohboi#P138,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2003,0.016,http://purl.obolibrary.org/obo/DOID_3094,Africa,
Seychelles,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17129,,https://w3id.org/ohboi#P213,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2000,0.033,http://purl.obolibrary.org/obo/DOID_3169,Africa,
Sierra Leone,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17130,,https://w3id.org/ohboi#P101,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2010,0.424,http://purl.obolibrary.org/obo/DOID_3057,Africa,
Sierra Leone,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17130,,https://w3id.org/ohboi#P220,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2000,0.441,http://purl.obolibrary.org/obo/DOID_3176,Africa,
Slovakia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17669,,https://w3id.org/ohboi#P211,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2000,0.025,http://purl.obolibrary.org/obo/DOID_3167,Europe,
Slovenia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17138,,https://w3id.org/ohboi#P150,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2003,0.019,http://purl.obolibrary.org/obo/DOID_3106,Europe,
Slovenia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17138,,https://w3id.org/ohboi#P207,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2000,0.025,http://purl.obolibrary.org/obo/DOID_3163,Europe,
Solomon Islands,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17148,,https://w3id.org/ohboi#P44,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16311,01/01/2019,0.083,http://purl.obolibrary.org/obo/DOID_3000,Australia,
Solomon Islands,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17148,,https://w3id.org/ohboi#P250,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16311,01/01/2000,0.111,http://purl.obolibrary.org/obo/DOID_3206,Australia,
South Africa,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17151,,https://w3id.org/ohboi#P126,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2004,2.22,http://purl.obolibrary.org/obo/DOID_3082,Africa,
Spain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17152,,https://w3id.org/ohboi#P67,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2019,0.011,http://purl.obolibrary.org/obo/DOID_3023,Europe,
Spain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17152,,https://w3id.org/ohboi#P80,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2018,0.013,http://purl.obolibrary.org/obo/DOID_3036,Europe,
Sudan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97351,,https://w3id.org/ohboi#P46,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2019,0.091,http://purl.obolibrary.org/obo/DOID_3002,Africa,
Sudan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97351,,https://w3id.org/ohboi#P135,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2003,0.325,http://purl.obolibrary.org/obo/DOID_3091,Africa,
Sudan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97351,,https://w3id.org/ohboi#P185,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2000,0.367,http://purl.obolibrary.org/obo/DOID_3141,Africa,
Switzerland,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17181,,https://w3id.org/ohboi#P252,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2000,0.011,http://purl.obolibrary.org/obo/DOID_3208,Europe,
